region_code,region_name,municipality_code,municipality_name,piece,group,x,y
12,Skåne län,1270,Tomelilla,1,108.1,440125.189394888,6179726.79715594
12,Skåne län,1270,Tomelilla,1,108.1,441093.336158469,6181739.1783
12,Skåne län,1270,Tomelilla,1,108.1,443089.787050201,6181280.6242138
12,Skåne län,1270,Tomelilla,1,108.1,443766.590577988,6179640.22328084
12,Skåne län,1270,Tomelilla,1,108.1,443859.916073451,6177203.38092471
12,Skåne län,1270,Tomelilla,1,108.1,446307.852016547,6175827.46890283
12,Skåne län,1270,Tomelilla,1,108.1,442423.894724159,6173563.27403744
12,Skåne län,1270,Tomelilla,1,108.1,441677.753613273,6166380.77574784
12,Skåne län,1270,Tomelilla,1,108.1,447785.769817238,6165030.36172479
12,Skåne län,1270,Tomelilla,1,108.1,448577.809917165,6160780.40641542
12,Skåne län,1270,Tomelilla,1,108.1,445614.324834269,6160158.25136706
12,Skåne län,1270,Tomelilla,1,108.1,444881.212298278,6153564.6344505
12,Skåne län,1270,Tomelilla,1,108.1,442981.429274854,6149568.34492697
12,Skåne län,1270,Tomelilla,1,108.1,438371.286245844,6149929.68574315
12,Skåne län,1270,Tomelilla,1,108.1,435578.536557664,6148206.06085665
12,Skåne län,1270,Tomelilla,1,108.1,430616.807692735,6152340.60483894
12,Skåne län,1270,Tomelilla,1,108.1,430678.833610297,6154748.22142731
12,Skåne län,1270,Tomelilla,1,108.1,428019.578306634,6159180.31074447
12,Skåne län,1270,Tomelilla,1,108.1,428858.706637925,6161976.7741686
12,Skåne län,1270,Tomelilla,1,108.1,431017.643543215,6161553.05432258
12,Skåne län,1270,Tomelilla,1,108.1,435544.262268353,6166314.50763426
12,Skåne län,1270,Tomelilla,1,108.1,435096.504096901,6169578.83213631
12,Skåne län,1270,Tomelilla,1,108.1,430571.24234312703,6175881.33027025
12,Skåne län,1270,Tomelilla,1,108.1,431768.459931904,6178908.8948227
12,Skåne län,1270,Tomelilla,1,108.1,434576.638393203,6182306.05033334
12,Skåne län,1270,Tomelilla,1,108.1,437148.001259597,6179169.39421721
